hhvehs,hh_county,hhincome_thousands,hhexpfac
0.0,King,-10000.0,3.0
0.0,King,0.0,11690.0
0.0,King,10000.0,21947.0
0.0,King,20000.0,13961.0
0.0,King,30000.0,11220.0
0.0,King,40000.0,12683.0
0.0,King,50000.0,6862.0
0.0,King,60000.0,5432.0
0.0,King,70000.0,3844.0
0.0,King,80000.0,3013.0
0.0,King,90000.0,2141.0
0.0,King,100000.0,2243.0
0.0,King,110000.0,1693.0
0.0,King,120000.0,2102.0
0.0,King,130000.0,1116.0
0.0,King,140000.0,1320.0
0.0,King,150000.0,885.0
0.0,King,160000.0,796.0
0.0,King,170000.0,398.0
0.0,King,180000.0,478.0
0.0,King,190000.0,208.0
0.0,King,200000.0,463.0
0.0,King,210000.0,339.0
0.0,King,220000.0,382.0
0.0,King,230000.0,173.0
0.0,King,240000.0,276.0
0.0,King,250000.0,218.0
0.0,King,260000.0,132.0
0.0,King,270000.0,112.0
0.0,King,280000.0,109.0
0.0,King,290000.0,91.0
0.0,King,300000.0,87.0
0.0,King,310000.0,18.0
0.0,King,320000.0,21.0
0.0,King,330000.0,35.0
0.0,King,340000.0,21.0
0.0,King,350000.0,53.0
0.0,King,360000.0,24.0
0.0,King,370000.0,24.0
0.0,King,380000.0,32.0
0.0,King,390000.0,54.0
0.0,King,400000.0,28.0
0.0,King,410000.0,43.0
0.0,King,420000.0,75.0
0.0,King,430000.0,21.0
0.0,King,440000.0,137.0
0.0,King,450000.0,15.0
0.0,King,460000.0,25.0
0.0,King,470000.0,287.0
0.0,King,480000.0,50.0
0.0,King,490000.0,31.0
0.0,King,500000.0,24.0
0.0,King,510000.0,14.0
0.0,King,520000.0,26.0
0.0,King,530000.0,17.0
0.0,King,540000.0,12.0
0.0,King,550000.0,8.0
0.0,King,560000.0,22.0
0.0,King,570000.0,6.0
0.0,King,580000.0,8.0
0.0,King,590000.0,1.0
0.0,King,600000.0,7.0
0.0,King,610000.0,5.0
0.0,King,620000.0,13.0
0.0,King,630000.0,7.0
0.0,King,640000.0,5.0
0.0,King,660000.0,1.0
0.0,King,670000.0,2.0
0.0,King,680000.0,3.0
0.0,King,690000.0,3.0
0.0,King,700000.0,11.0
0.0,King,710000.0,7.0
0.0,King,720000.0,12.0
0.0,King,790000.0,6.0
0.0,King,820000.0,2.0
0.0,King,830000.0,2.0
0.0,King,840000.0,2.0
0.0,King,850000.0,1.0
0.0,King,940000.0,4.0
0.0,King,960000.0,3.0
0.0,Kitsap,-10000.0,1.0
0.0,Kitsap,0.0,615.0
0.0,Kitsap,10000.0,1682.0
0.0,Kitsap,20000.0,877.0
0.0,Kitsap,30000.0,635.0
0.0,Kitsap,40000.0,644.0
0.0,Kitsap,50000.0,440.0
0.0,Kitsap,60000.0,252.0
0.0,Kitsap,70000.0,134.0
0.0,Kitsap,80000.0,99.0
