hhvehs,hh_county,hhincome_thousands,hhexpfac
0.0,King,-10000.0,2.0
0.0,King,0.0,9274.0
0.0,King,10000.0,15806.0
0.0,King,20000.0,9101.0
0.0,King,30000.0,7145.0
0.0,King,40000.0,8118.0
0.0,King,50000.0,4444.0
0.0,King,60000.0,3454.0
0.0,King,70000.0,2471.0
0.0,King,80000.0,1865.0
0.0,King,90000.0,1607.0
0.0,King,100000.0,1464.0
0.0,King,110000.0,1235.0
0.0,King,120000.0,1543.0
0.0,King,130000.0,813.0
0.0,King,140000.0,918.0
0.0,King,150000.0,711.0
0.0,King,160000.0,582.0
0.0,King,170000.0,332.0
0.0,King,180000.0,375.0
0.0,King,190000.0,147.0
0.0,King,200000.0,372.0
0.0,King,210000.0,254.0
0.0,King,220000.0,319.0
0.0,King,230000.0,139.0
0.0,King,240000.0,212.0
0.0,King,250000.0,182.0
0.0,King,260000.0,97.0
0.0,King,270000.0,90.0
0.0,King,280000.0,86.0
0.0,King,290000.0,59.0
0.0,King,300000.0,70.0
0.0,King,310000.0,21.0
0.0,King,320000.0,24.0
0.0,King,330000.0,17.0
0.0,King,340000.0,8.0
0.0,King,350000.0,38.0
0.0,King,360000.0,17.0
0.0,King,370000.0,22.0
0.0,King,380000.0,26.0
0.0,King,390000.0,31.0
0.0,King,400000.0,26.0
0.0,King,410000.0,28.0
0.0,King,420000.0,46.0
0.0,King,430000.0,13.0
0.0,King,440000.0,106.0
0.0,King,450000.0,18.0
0.0,King,460000.0,18.0
0.0,King,470000.0,245.0
0.0,King,480000.0,31.0
0.0,King,490000.0,19.0
0.0,King,500000.0,27.0
0.0,King,510000.0,3.0
0.0,King,520000.0,16.0
0.0,King,530000.0,14.0
0.0,King,540000.0,14.0
0.0,King,550000.0,8.0
0.0,King,560000.0,19.0
0.0,King,570000.0,8.0
0.0,King,580000.0,7.0
0.0,King,590000.0,2.0
0.0,King,600000.0,3.0
0.0,King,610000.0,5.0
0.0,King,620000.0,3.0
0.0,King,630000.0,1.0
0.0,King,640000.0,6.0
0.0,King,680000.0,7.0
0.0,King,690000.0,3.0
0.0,King,700000.0,5.0
0.0,King,710000.0,4.0
0.0,King,720000.0,4.0
0.0,King,750000.0,1.0
0.0,King,770000.0,3.0
0.0,King,790000.0,4.0
0.0,King,810000.0,1.0
0.0,King,820000.0,1.0
0.0,King,840000.0,1.0
0.0,King,850000.0,1.0
0.0,King,880000.0,2.0
0.0,King,940000.0,1.0
0.0,King,990000.0,1.0
0.0,King,1050000.0,1.0
0.0,Kitsap,-10000.0,2.0
0.0,Kitsap,0.0,509.0
0.0,Kitsap,10000.0,1259.0
0.0,Kitsap,20000.0,624.0
0.0,Kitsap,30000.0,400.0
0.0,Kitsap,40000.0,406.0
0.0,Kitsap,50000.0,262.0
0.0,Kitsap,60000.0,134.0
0.0,Kitsap,70000.0,83.0
0.0,Kitsap,80000.0,75.0
0.0,Kitsap,90000.0,35.0
0.0,Kitsap,100000.0,48.0
0.0,Kitsap,110000.0,21.0
0.0,Kitsap,120000.0,31.0
0.0,Kitsap,130000.0,13.0
0.0,Kitsap,140000.0,9.0
0.0,Kitsap,150000.0,2.0
