dpurp,mode,hh_county,trexpfac
None/Home,,King,28.0
None/Home,,Kitsap,5.0
None/Home,,Pierce,4.0
None/Home,,Snohomish,7.0
None/Home,Walk,King,960076.0
None/Home,Walk,Kitsap,73713.0
None/Home,Walk,Pierce,255767.0
None/Home,Walk,Snohomish,240616.0
None/Home,Bike,King,87903.0
None/Home,Bike,Kitsap,7361.0
None/Home,Bike,Pierce,29460.0
None/Home,Bike,Snohomish,27801.0
None/Home,SOV,King,1501392.0
None/Home,SOV,Kitsap,203816.0
None/Home,SOV,Pierce,635558.0
None/Home,SOV,Snohomish,672306.0
None/Home,HOV2,King,965322.0
None/Home,HOV2,Kitsap,122328.0
None/Home,HOV2,Pierce,417515.0
None/Home,HOV2,Snohomish,430643.0
None/Home,HOV3+,King,712678.0
None/Home,HOV3+,Kitsap,82120.0
None/Home,HOV3+,Pierce,313580.0
None/Home,HOV3+,Snohomish,329758.0
None/Home,Transit,King,386399.0
None/Home,Transit,Kitsap,12940.0
None/Home,Transit,Pierce,35665.0
None/Home,Transit,Snohomish,75392.0
None/Home,School Bus,King,101980.0
None/Home,School Bus,Kitsap,10785.0
None/Home,School Bus,Pierce,44341.0
None/Home,School Bus,Snohomish,45477.0
None/Home,TNC,King,41869.0
None/Home,TNC,Kitsap,2504.0
None/Home,TNC,Pierce,10408.0
None/Home,TNC,Snohomish,9998.0
Work,,King,1.0
Work,Walk,King,467435.0
Work,Walk,Kitsap,22629.0
Work,Walk,Pierce,80652.0
Work,Walk,Snohomish,76520.0
Work,Bike,King,29323.0
Work,Bike,Kitsap,2523.0
Work,Bike,Pierce,8703.0
Work,Bike,Snohomish,9022.0
Work,SOV,King,994291.0
Work,SOV,Kitsap,117280.0
Work,SOV,Pierce,383711.0
Work,SOV,Snohomish,432362.0
Work,HOV2,King,197434.0
Work,HOV2,Kitsap,19566.0
Work,HOV2,Pierce,68338.0
Work,HOV2,Snohomish,79212.0
Work,HOV3+,King,93797.0
Work,HOV3+,Kitsap,9084.0
Work,HOV3+,Pierce,32007.0
Work,HOV3+,Snohomish,37997.0
Work,Transit,King,325037.0
Work,Transit,Kitsap,17069.0
Work,Transit,Pierce,43609.0
Work,Transit,Snohomish,83919.0
Work,School Bus,King,53.0
Work,School Bus,Kitsap,9.0
Work,School Bus,Pierce,23.0
Work,School Bus,Snohomish,40.0
Work,TNC,King,82570.0
Work,TNC,Kitsap,4204.0
Work,TNC,Pierce,14705.0
Work,TNC,Snohomish,20174.0
School,Walk,King,90389.0
School,Walk,Kitsap,7218.0
School,Walk,Pierce,29574.0
School,Walk,Snohomish,29117.0
School,Bike,King,22190.0
School,Bike,Kitsap,1973.0
School,Bike,Pierce,8502.0
School,Bike,Snohomish,7950.0
School,SOV,King,34777.0
School,SOV,Kitsap,4083.0
School,SOV,Pierce,20036.0
School,SOV,Snohomish,15509.0
School,HOV2,King,113276.0
School,HOV2,Kitsap,13849.0
School,HOV2,Pierce,51940.0
School,HOV2,Snohomish,55547.0
School,HOV3+,King,130331.0
School,HOV3+,Kitsap,14616.0
School,HOV3+,Pierce,57660.0
School,HOV3+,Snohomish,61394.0
School,Transit,King,49523.0
School,Transit,Kitsap,1888.0
School,Transit,Pierce,7597.0
School,Transit,Snohomish,13072.0
School,School Bus,King,103326.0
School,School Bus,Kitsap,10820.0
School,School Bus,Pierce,44608.0
School,School Bus,Snohomish,46093.0
School,TNC,King,11333.0
School,TNC,Kitsap,1130.0
School,TNC,Pierce,4562.0
School,TNC,Snohomish,4737.0
Escort,Walk,King,131902.0
Escort,Walk,Kitsap,11188.0
Escort,Walk,Pierce,37891.0
Escort,Walk,Snohomish,37259.0
Escort,Bike,King,26618.0
Escort,Bike,Kitsap,2374.0
Escort,Bike,Pierce,10132.0
Escort,Bike,Snohomish,9386.0
Escort,SOV,King,237672.0
Escort,SOV,Kitsap,33552.0
Escort,SOV,Pierce,106534.0
Escort,SOV,Snohomish,117805.0
Escort,HOV2,King,274811.0
Escort,HOV2,Kitsap,33992.0
Escort,HOV2,Pierce,114099.0
Escort,HOV2,Snohomish,120808.0
Escort,HOV3+,King,212376.0
Escort,HOV3+,Kitsap,24079.0
Escort,HOV3+,Pierce,92390.0
Escort,HOV3+,Snohomish,100106.0
Escort,Transit,King,19121.0
Escort,Transit,Kitsap,1304.0
Escort,Transit,Pierce,2001.0
Escort,Transit,Snohomish,5199.0
Escort,School Bus,King,2873.0
Escort,School Bus,Kitsap,287.0
Escort,School Bus,Pierce,1235.0
Escort,School Bus,Snohomish,1244.0
Escort,TNC,King,2179.0
Escort,TNC,Kitsap,135.0
