dpurp,mode,hh_county,trexpfac
None/Home,,King,4.0
None/Home,,Kitsap,1.0
None/Home,,Pierce,3.0
None/Home,,Snohomish,4.0
None/Home,Walk,King,442942.0
None/Home,Walk,Kitsap,43849.0
None/Home,Walk,Pierce,119938.0
None/Home,Walk,Snohomish,108390.0
None/Home,Bike,King,50734.0
None/Home,Bike,Kitsap,4461.0
None/Home,Bike,Pierce,16635.0
None/Home,Bike,Snohomish,14584.0
None/Home,SOV,King,1287695.0
None/Home,SOV,Kitsap,153094.0
None/Home,SOV,Pierce,482577.0
None/Home,SOV,Snohomish,487630.0
None/Home,HOV2,King,740853.0
None/Home,HOV2,Kitsap,91278.0
None/Home,HOV2,Pierce,305455.0
None/Home,HOV2,Snohomish,287675.0
None/Home,HOV3+,King,543084.0
None/Home,HOV3+,Kitsap,64414.0
None/Home,HOV3+,Pierce,232090.0
None/Home,HOV3+,Snohomish,225008.0
None/Home,Transit,King,127357.0
None/Home,Transit,Kitsap,6341.0
None/Home,Transit,Pierce,12054.0
None/Home,Transit,Snohomish,9382.0
None/Home,School Bus,King,76930.0
None/Home,School Bus,Kitsap,8353.0
None/Home,School Bus,Pierce,33151.0
None/Home,School Bus,Snohomish,30999.0
None/Home,TNC,King,20405.0
None/Home,TNC,Kitsap,1615.0
None/Home,TNC,Pierce,6190.0
None/Home,TNC,Snohomish,5594.0
Work,Walk,King,182636.0
Work,Walk,Kitsap,10925.0
Work,Walk,Pierce,23497.0
Work,Walk,Snohomish,22899.0
Work,Bike,King,19701.0
Work,Bike,Kitsap,1391.0
Work,Bike,Pierce,4199.0
Work,Bike,Snohomish,4315.0
Work,SOV,King,875769.0
Work,SOV,Kitsap,87456.0
Work,SOV,Pierce,292274.0
Work,SOV,Snohomish,320768.0
Work,HOV2,King,143284.0
Work,HOV2,Kitsap,13585.0
Work,HOV2,Pierce,45536.0
Work,HOV2,Snohomish,49293.0
Work,HOV3+,King,66138.0
Work,HOV3+,Kitsap,6414.0
Work,HOV3+,Pierce,21368.0
Work,HOV3+,Snohomish,23392.0
Work,Transit,King,109884.0
Work,Transit,Kitsap,8269.0
Work,Transit,Pierce,18374.0
Work,Transit,Snohomish,15800.0
Work,School Bus,King,52.0
Work,School Bus,Kitsap,5.0
Work,School Bus,Pierce,10.0
Work,School Bus,Snohomish,15.0
Work,TNC,King,43416.0
Work,TNC,Kitsap,2587.0
Work,TNC,Pierce,7269.0
Work,TNC,Snohomish,8767.0
School,Walk,King,54147.0
School,Walk,Kitsap,4603.0
School,Walk,Pierce,17068.0
School,Walk,Snohomish,15247.0
School,Bike,King,15709.0
School,Bike,Kitsap,1268.0
School,Bike,Pierce,5400.0
School,Bike,Snohomish,4642.0
School,SOV,King,39186.0
School,SOV,Kitsap,4171.0
School,SOV,Pierce,17304.0
School,SOV,Snohomish,15828.0
School,HOV2,King,101315.0
School,HOV2,Kitsap,11153.0
School,HOV2,Pierce,42356.0
School,HOV2,Snohomish,41234.0
School,HOV3+,King,107170.0
School,HOV3+,Kitsap,11533.0
School,HOV3+,Pierce,44793.0
School,HOV3+,Snohomish,43356.0
School,Transit,King,20295.0
School,Transit,Kitsap,761.0
School,Transit,Pierce,3165.0
School,Transit,Snohomish,3426.0
School,School Bus,King,77434.0
School,School Bus,Kitsap,8464.0
School,School Bus,Pierce,33182.0
School,School Bus,Snohomish,31436.0
School,TNC,King,8083.0
School,TNC,Kitsap,841.0
School,TNC,Pierce,3438.0
School,TNC,Snohomish,2926.0
Escort,Walk,King,61528.0
Escort,Walk,Kitsap,6987.0
Escort,Walk,Pierce,17834.0
Escort,Walk,Snohomish,16537.0
Escort,Bike,King,15668.0
Escort,Bike,Kitsap,1595.0
Escort,Bike,Pierce,6201.0
Escort,Bike,Snohomish,5249.0
Escort,SOV,King,210075.0
Escort,SOV,Kitsap,26597.0
Escort,SOV,Pierce,86556.0
Escort,SOV,Snohomish,86284.0
Escort,HOV2,King,214426.0
Escort,HOV2,Kitsap,26782.0
Escort,HOV2,Pierce,86959.0
Escort,HOV2,Snohomish,84741.0
Escort,HOV3+,King,160187.0
Escort,HOV3+,Kitsap,19342.0
Escort,HOV3+,Pierce,68929.0
Escort,HOV3+,Snohomish,70179.0
Escort,Transit,King,5498.0
Escort,Transit,Kitsap,564.0
