year,date,geography,geography_type,variable,grouping,metric,estimate
2016,12/1/2016,Region,Region,All Transit Modes,Forecast,Boardings,222592561
2017,12/1/2017,Region,Region,All Transit Modes,Forecast,Boardings,227475924
2018,12/1/2018,Region,Region,All Transit Modes,Forecast,Boardings,230538085
2019,12/1/2019,Region,Region,All Transit Modes,Forecast,Boardings,246308000
2020,12/1/2020,Region,Region,All Transit Modes,Forecast,Boardings,264473000
2021,12/1/2021,Region,Region,All Transit Modes,Forecast,Boardings,282638000
2022,12/1/2022,Region,Region,All Transit Modes,Forecast,Boardings,300803000
2023,12/1/2023,Region,Region,All Transit Modes,Forecast,Boardings,318968000
2024,12/1/2024,Region,Region,All Transit Modes,Forecast,Boardings,337133000
2025,12/1/2025,Region,Region,All Transit Modes,Forecast,Boardings,355298000
2026,12/1/2026,Region,Region,All Transit Modes,Forecast,Boardings,373463000
2027,12/1/2027,Region,Region,All Transit Modes,Forecast,Boardings,391628000
2028,12/1/2028,Region,Region,All Transit Modes,Forecast,Boardings,409793000
2029,12/1/2029,Region,Region,All Transit Modes,Forecast,Boardings,427958000
2030,12/1/2030,Region,Region,All Transit Modes,Forecast,Boardings,446123000
2031,12/1/2031,Region,Region,All Transit Modes,Forecast,Boardings,467367000
2032,12/1/2032,Region,Region,All Transit Modes,Forecast,Boardings,488611000
2033,12/1/2033,Region,Region,All Transit Modes,Forecast,Boardings,509855000
2034,12/1/2034,Region,Region,All Transit Modes,Forecast,Boardings,531099000
2035,12/1/2035,Region,Region,All Transit Modes,Forecast,Boardings,552343000
2036,12/1/2036,Region,Region,All Transit Modes,Forecast,Boardings,573587000
2037,12/1/2037,Region,Region,All Transit Modes,Forecast,Boardings,594831000
2038,12/1/2038,Region,Region,All Transit Modes,Forecast,Boardings,616075000
2039,12/1/2039,Region,Region,All Transit Modes,Forecast,Boardings,637319000
2040,12/1/2040,Region,Region,All Transit Modes,Forecast,Boardings,658559000
2041,12/1/2041,Region,Region,All Transit Modes,Forecast,Boardings,667372000
2042,12/1/2042,Region,Region,All Transit Modes,Forecast,Boardings,676185000
2043,12/1/2043,Region,Region,All Transit Modes,Forecast,Boardings,684998000
2044,12/1/2044,Region,Region,All Transit Modes,Forecast,Boardings,693811000
2045,12/1/2045,Region,Region,All Transit Modes,Forecast,Boardings,702624000
2046,12/1/2046,Region,Region,All Transit Modes,Forecast,Boardings,711437000
2047,12/1/2047,Region,Region,All Transit Modes,Forecast,Boardings,720250000
2048,12/1/2048,Region,Region,All Transit Modes,Forecast,Boardings,729063000
2049,12/1/2049,Region,Region,All Transit Modes,Forecast,Boardings,737876000
2050,12/1/2050,Region,Region,All Transit Modes,Forecast,Boardings,746686000
2016,12/1/2016,Region,Region,All Transit Modes,Forecast,Revenue-Hours,7487702
2017,12/1/2017,Region,Region,All Transit Modes,Forecast,Revenue-Hours,7764780
2018,12/1/2018,Region,Region,All Transit Modes,Forecast,Revenue-Hours,7986846
2019,12/1/2019,Region,Region,All Transit Modes,Forecast,Revenue-Hours,8168320
2020,12/1/2020,Region,Region,All Transit Modes,Forecast,Revenue-Hours,8349794
2021,12/1/2021,Region,Region,All Transit Modes,Forecast,Revenue-Hours,8531268
2022,12/1/2022,Region,Region,All Transit Modes,Forecast,Revenue-Hours,8712742
2023,12/1/2023,Region,Region,All Transit Modes,Forecast,Revenue-Hours,8894216
2024,12/1/2024,Region,Region,All Transit Modes,Forecast,Revenue-Hours,9075690
2025,12/1/2025,Region,Region,All Transit Modes,Forecast,Revenue-Hours,9257164
2026,12/1/2026,Region,Region,All Transit Modes,Forecast,Revenue-Hours,9438638
2027,12/1/2027,Region,Region,All Transit Modes,Forecast,Revenue-Hours,9620112
2028,12/1/2028,Region,Region,All Transit Modes,Forecast,Revenue-Hours,9801586
2029,12/1/2029,Region,Region,All Transit Modes,Forecast,Revenue-Hours,9983060
2030,12/1/2030,Region,Region,All Transit Modes,Forecast,Revenue-Hours,10164529.47
2031,12/1/2031,Region,Region,All Transit Modes,Forecast,Revenue-Hours,10380943
2032,12/1/2032,Region,Region,All Transit Modes,Forecast,Revenue-Hours,10597357
2033,12/1/2033,Region,Region,All Transit Modes,Forecast,Revenue-Hours,10813771
2034,12/1/2034,Region,Region,All Transit Modes,Forecast,Revenue-Hours,11030185
2035,12/1/2035,Region,Region,All Transit Modes,Forecast,Revenue-Hours,11246599
2036,12/1/2036,Region,Region,All Transit Modes,Forecast,Revenue-Hours,11463013
2037,12/1/2037,Region,Region,All Transit Modes,Forecast,Revenue-Hours,11679427
2038,12/1/2038,Region,Region,All Transit Modes,Forecast,Revenue-Hours,11895841
2039,12/1/2039,Region,Region,All Transit Modes,Forecast,Revenue-Hours,12112255
2040,12/1/2040,Region,Region,All Transit Modes,Forecast,Revenue-Hours,12328668.26
2041,12/1/2041,Region,Region,All Transit Modes,Forecast,Revenue-Hours,12425588
2042,12/1/2042,Region,Region,All Transit Modes,Forecast,Revenue-Hours,12522508
2043,12/1/2043,Region,Region,All Transit Modes,Forecast,Revenue-Hours,12619428
2044,12/1/2044,Region,Region,All Transit Modes,Forecast,Revenue-Hours,12716348
2045,12/1/2045,Region,Region,All Transit Modes,Forecast,Revenue-Hours,12813268
2046,12/1/2046,Region,Region,All Transit Modes,Forecast,Revenue-Hours,12910188
2047,12/1/2047,Region,Region,All Transit Modes,Forecast,Revenue-Hours,13007108
2048,12/1/2048,Region,Region,All Transit Modes,Forecast,Revenue-Hours,13104028
2049,12/1/2049,Region,Region,All Transit Modes,Forecast,Revenue-Hours,13200948
2050,12/1/2050,Region,Region,All Transit Modes,Forecast,Revenue-Hours,13297865.32
2016,12/1/2016,Region,Region,All Transit Modes,Forecast,Boardings-per-Hour,29.72775372
2017,12/1/2017,Region,Region,All Transit Modes,Forecast,Boardings-per-Hour,29.29586208
2018,12/1/2018,Region,Region,All Transit Modes,Forecast,Boardings-per-Hour,28.86472144
2019,12/1/2019,Region,Region,All Transit Modes,Forecast,Boardings-per-Hour,30.15405861
2020,12/1/2020,Region,Region,All Transit Modes,Forecast,Boardings-per-Hour,31.6741946
2021,12/1/2021,Region,Region,All Transit Modes,Forecast,Boardings-per-Hour,33.12965904
2022,12/1/2022,Region,Region,All Transit Modes,Forecast,Boardings-per-Hour,34.52449298
2023,12/1/2023,Region,Region,All Transit Modes,Forecast,Boardings-per-Hour,35.86240766
2024,12/1/2024,Region,Region,All Transit Modes,Forecast,Boardings-per-Hour,37.14681749
2025,12/1/2025,Region,Region,All Transit Modes,Forecast,Boardings-per-Hour,38.38086913
2026,12/1/2026,Region,Region,All Transit Modes,Forecast,Boardings-per-Hour,39.56746726
2027,12/1/2027,Region,Region,All Transit Modes,Forecast,Boardings-per-Hour,40.70929736
2028,12/1/2028,Region,Region,All Transit Modes,Forecast,Boardings-per-Hour,41.80884604
2029,12/1/2029,Region,Region,All Transit Modes,Forecast,Boardings-per-Hour,42.8684191
2030,12/1/2030,Region,Region,All Transit Modes,Forecast,Boardings-per-Hour,43.89017724
2031,12/1/2031,Region,Region,All Transit Modes,Forecast,Boardings-per-Hour,45.02163243
2032,12/1/2032,Region,Region,All Transit Modes,Forecast,Boardings-per-Hour,46.10687363
2033,12/1/2033,Region,Region,All Transit Modes,Forecast,Boardings-per-Hour,47.14867737
2034,12/1/2034,Region,Region,All Transit Modes,Forecast,Boardings-per-Hour,48.14960039
2035,12/1/2035,Region,Region,All Transit Modes,Forecast,Boardings-per-Hour,49.11200266
2036,12/1/2036,Region,Region,All Transit Modes,Forecast,Boardings-per-Hour,50.03806591
2037,12/1/2037,Region,Region,All Transit Modes,Forecast,Boardings-per-Hour,50.92981017
2038,12/1/2038,Region,Region,All Transit Modes,Forecast,Boardings-per-Hour,51.78910848
2039,12/1/2039,Region,Region,All Transit Modes,Forecast,Boardings-per-Hour,52.61770001
2040,12/1/2040,Region,Region,All Transit Modes,Forecast,Boardings-per-Hour,53.41688057
2041,12/1/2041,Region,Region,All Transit Modes,Forecast,Boardings-per-Hour,53.70949045
2042,12/1/2042,Region,Region,All Transit Modes,Forecast,Boardings-per-Hour,53.99756982
2043,12/1/2043,Region,Region,All Transit Modes,Forecast,Boardings-per-Hour,54.28122416
2044,12/1/2044,Region,Region,All Transit Modes,Forecast,Boardings-per-Hour,54.56055465
2045,12/1/2045,Region,Region,All Transit Modes,Forecast,Boardings-per-Hour,54.83565941
2046,12/1/2046,Region,Region,All Transit Modes,Forecast,Boardings-per-Hour,55.10663361
2047,12/1/2047,Region,Region,All Transit Modes,Forecast,Boardings-per-Hour,55.37356959
2048,12/1/2048,Region,Region,All Transit Modes,Forecast,Boardings-per-Hour,55.63655694
2049,12/1/2049,Region,Region,All Transit Modes,Forecast,Boardings-per-Hour,55.89568264
2050,12/1/2050,Region,Region,All Transit Modes,Forecast,Boardings-per-Hour,56.15081684
